States,Agegrp,Month,Deaths
Alaska,35-44 years,2/1/2020,21
Alaska,35-44 years,3/1/2020,20
Alaska,35-44 years,4/1/2020,17
Alaska,35-44 years,5/1/2020,22
Alaska,35-44 years,6/1/2020,19
Alaska,35-44 years,7/1/2020,27
Alaska,35-44 years,8/1/2020,28
Alaska,35-44 years,9/1/2020,35
Alaska,35-44 years,10/1/2020,24
Alaska,35-44 years,11/1/2020,28
Alaska,35-44 years,12/1/2020,26
Alaska,35-44 years,1/1/2021,24
Alaska,35-44 years,2/1/2021,17
Alaska,35-44 years,3/1/2021,26
Alaska,35-44 years,4/1/2021,30
Alaska,35-44 years,5/1/2021,26
Alaska,35-44 years,6/1/2021,22
Alaska,35-44 years,7/1/2021,26
Alaska,35-44 years,8/1/2021,41
Alaska,35-44 years,9/1/2021,36
Alaska,35-44 years,10/1/2021,55
Alaska,35-44 years,11/1/2021,40
Alaska,35-44 years,12/1/2021,33
Alaska,45-54 years,1/1/2018,36
Alaska,45-54 years,2/1/2018,41
Alaska,45-54 years,3/1/2018,28
Alaska,45-54 years,4/1/2018,38
Alaska,45-54 years,5/1/2018,19
Alaska,45-54 years,6/1/2018,32
Alaska,45-54 years,7/1/2018,32
Alaska,45-54 years,8/1/2018,39
Alaska,45-54 years,9/1/2018,43
Alaska,45-54 years,10/1/2018,34
Alaska,45-54 years,11/1/2018,31
Alaska,45-54 years,12/1/2018,28
Alaska,45-54 years,1/1/2019,40
Alaska,45-54 years,2/1/2019,25
Alaska,45-54 years,3/1/2019,32
Alaska,45-54 years,4/1/2019,23
Alaska,45-54 years,5/1/2019,22
Alaska,45-54 years,6/1/2019,19
Alaska,45-54 years,7/1/2019,22
Alaska,45-54 years,8/1/2019,21
Alaska,45-54 years,9/1/2019,29
Alaska,45-54 years,10/1/2019,37
Alaska,45-54 years,11/1/2019,33
Alaska,45-54 years,12/1/2019,32
Alaska,45-54 years,1/1/2020,31
Alaska,45-54 years,2/1/2020,28
Alaska,45-54 years,3/1/2020,21
Alaska,45-54 years,4/1/2020,31
Alaska,45-54 years,5/1/2020,31
Alaska,45-54 years,6/1/2020,29
Alaska,45-54 years,7/1/2020,33
Alaska,45-54 years,8/1/2020,48
Alaska,45-54 years,9/1/2020,37
Alaska,45-54 years,10/1/2020,36
Alaska,45-54 years,11/1/2020,40
Alaska,45-54 years,12/1/2020,44
Alaska,45-54 years,1/1/2021,36
Alaska,45-54 years,2/1/2021,34
Alaska,45-54 years,3/1/2021,32
Alaska,45-54 years,4/1/2021,47
Alaska,45-54 years,5/1/2021,34
Alaska,45-54 years,6/1/2021,35
Alaska,45-54 years,7/1/2021,39
Alaska,45-54 years,8/1/2021,54
Alaska,45-54 years,9/1/2021,52
Alaska,45-54 years,10/1/2021,69
Alaska,45-54 years,11/1/2021,49
Alaska,45-54 years,12/1/2021,50
Alaska,55-64 years,1/1/2018,76
Alaska,55-64 years,2/1/2018,55
Alaska,55-64 years,3/1/2018,56
Alaska,55-64 years,4/1/2018,55
Alaska,55-64 years,5/1/2018,61
Alaska,55-64 years,6/1/2018,57
Alaska,55-64 years,7/1/2018,77
Alaska,55-64 years,8/1/2018,65
Alaska,55-64 years,9/1/2018,62
Alaska,55-64 years,10/1/2018,64
Alaska,55-64 years,11/1/2018,75
Alaska,55-64 years,12/1/2018,63
Alaska,55-64 years,1/1/2019,66
Alaska,55-64 years,2/1/2019,65
Alaska,55-64 years,3/1/2019,77
Alaska,55-64 years,4/1/2019,56
Alaska,55-64 years,5/1/2019,62
Alaska,55-64 years,6/1/2019,63
Alaska,55-64 years,7/1/2019,61
Alaska,55-64 years,8/1/2019,66
Alaska,55-64 years,9/1/2019,60
Alaska,55-64 years,10/1/2019,57
Alaska,55-64 years,11/1/2019,74
Alaska,55-64 years,12/1/2019,62
Alaska,55-64 years,1/1/2020,77
Alaska,55-64 years,2/1/2020,61
Alaska,55-64 years,3/1/2020,67
Alaska,55-64 years,4/1/2020,57
Alaska,55-64 years,5/1/2020,68
Alaska,55-64 years,6/1/2020,79
Alaska,55-64 years,7/1/2020,69
Alaska,55-64 years,8/1/2020,66
Alaska,55-64 years,9/1/2020,75
Alaska,55-64 years,10/1/2020,79
Alaska,55-64 years,11/1/2020,78
Alaska,55-64 years,12/1/2020,80
Alaska,55-64 years,1/1/2021,85
Alaska,55-64 years,2/1/2021,53
Alaska,55-64 years,3/1/2021,59
Alaska,55-64 years,4/1/2021,73
Alaska,55-64 years,5/1/2021,68
Alaska,55-64 years,6/1/2021,62
Alaska,55-64 years,7/1/2021,72
Alaska,55-64 years,8/1/2021,85
Alaska,55-64 years,9/1/2021,114
Alaska,55-64 years,10/1/2021,120
Alaska,55-64 years,11/1/2021,114
Alaska,55-64 years,12/1/2021,97
Alaska,65-74 years,1/1/2018,77
Alaska,65-74 years,2/1/2018,73
Alaska,65-74 years,3/1/2018,76
